Title,Rating,Rating_numbers
American Beauty (1999),4.3173862310385065,3428
Star Wars: Episode IV - A New Hope (1977),4.453694416583082,2991
Jurassic Park (1993),3.7638473053892216,2672
Saving Private Ryan (1998),4.337353938937053,2653
Terminator 2: Judgment Day (1991),4.058512646281616,2649
"Matrix, The (1999)",4.315830115830116,2590
Back to the Future (1985),3.9903213317847466,2583
"Silence of the Lambs, The (1991)",4.3518231186966645,2578
Men in Black (1997),3.739952718676123,2538
Raiders of the Lost Ark (1981),4.477724741447892,2514
Fargo (1996),4.254675686430561,2513
"Sixth Sense, The (1999)",4.406262708418057,2459
Braveheart (1995),4.234957020057307,2443
Shakespeare in Love (1998),4.127479949345715,2369
"Princess Bride, The (1987)",4.3037100949094045,2318
Schindler's List (1993),4.510416666666667,2304
L.A. Confidential (1997),4.219405594405594,2288
Groundhog Day (1993),3.953028972783143,2278
